Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6726","Organic soils","2012","2012","gigagrams","43368.9682","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6726","Organic soils","2013","2013","gigagrams","37308.1758","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6726","Organic soils","2014","2014","gigagrams","108028.1385","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6726","Organic soils","2015","2015","gigagrams","114663.1345","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6726","Organic soils","2016","2016","gigagrams","11322.8062","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6726","Organic soils","2017","2017","gigagrams","11322.8062","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719411","Emissions (CO2) (Burning biomass)","6726","Organic soils","2012","2012","gigagrams","169098.6477","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719411","Emissions (CO2) (Burning biomass)","6726","Organic soils","2013","2013","gigagrams","145467.251","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719411","Emissions (CO2) (Burning biomass)","6726","Organic soils","2014","2014","gigagrams","421208.8602","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719411","Emissions (CO2) (Burning biomass)","6726","Organic soils","2015","2015","gigagrams","447079.62","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719411","Emissions (CO2) (Burning biomass)","6726","Organic soils","2016","2016","gigagrams","44148.4689","Fc","Calculated data"
